word,df,idf,nidn
express,27,0.999,0006114805
manganes,3,2.944,0006114805
superoxid,3,2.944,0006114805
dismutas,3,2.944,0006114805
rat,14,1.623,0006114805
blood,4,2.721,0006114805
heart,3,2.944,0006114805
induc,9,2.028,0006114805
system,6,2.385,0006114805
hypoxia,18,1.386,0006114805
effect,9,2.028,0006114805
chronic,5,2.539,0006114805
factor1α,6,2.385,0006114805
factor,3,2.944,0006114805
protein,9,2.028,0006114805
indonesia,3,2.944,0006114805
folat,4,2.721,0006114805
bind,4,2.721,0006114805
extract,4,2.721,0006114805
mouse,4,2.721,0006114805
correl,3,2.944,0006114805
endotheli,3,2.944,0006114805
studi,7,2.251,0006114805
isol,3,2.944,0006114805
fibroblast,4,2.721,0006114805
character,4,2.721,0006114805
trypsinlik,4,2.721,0006114805
protea,4,2.721,0006114805
lactobacillu,4,2.721,0006114805
plantarum,4,2.721,0006114805
fncc,4,2.721,0006114805
0270,4,2.721,0006114805
stem,6,2.385,0006114805
cell,11,1.846,0006114805
human,8,2.134,0006114805
receptor,3,2.944,0006114805
breast,4,2.721,0006114805
cancer,7,2.251,0006114805
cytoglobin,5,2.539,0006114805
oxid,5,2.539,0006114805
stress,5,2.539,0006114805
liver,3,2.944,0006114805
hif1α,6,2.385,0006114805
keloid,7,2.251,0006114805
tissu,9,2.028,0006114805
model,3,2.944,0006114805
rel,4,2.721,0006114805
use,3,2.944,0006114805
respons,4,2.721,0006114805
gene,6,2.385,0006114805
activ,5,2.539,0006114805
carbon,3,2.944,0006114805
kidney,3,2.944,0006114805
injuri,3,2.944,0006114805
hypox,3,2.944,0006114805
role,7,2.251,0006114805
patient,3,2.944,0006114805
prolifer,4,2.721,0006114805
marker,3,2.944,0006114805
regener,3,2.944,0006114805
sensit,3,2.944,0006114805
increas,3,2.944,0006114805
age,3,1.447,0019045405
indonesian,5,1.041,0019045405
kerja,3,1.447,0019045405
fatigu,4,1.224,0019045405
safeti,3,1.447,0019045405
behavior,3,1.447,0019045405
develop,3,1.447,0019045405
system,4,1.224,0019045405
human,3,1.447,0019045405
factor,3,1.447,0019045405
flow,4,0.956,0008086305
use,3,1.179,0008086305
flotat,3,1.179,0008086305
nozzl,3,1.179,0008086305
design,3,1.179,0008086305
scaffold,10,1.553,0316097603
monitor,3,2.565,0316097603
cell,5,2.159,0316097603
process,3,2.565,0316097603
base,4,2.342,0316097603
use,10,1.553,0316097603
engin,12,1.386,0316097603
composit,6,2.005,0316097603
tissu,6,2.005,0316097603
bone,6,2.005,0316097603
electr,4,2.342,0316097603
mechan,4,2.342,0316097603
applic,9,1.649,0316097603
fabric,5,2.159,0316097603
character,6,2.005,0316097603
develop,5,2.159,0316097603
realiz,4,2.342,0316097603
surfac,4,2.342,0316097603
method,4,2.342,0316097603
biomed,7,1.872,0316097603
implant,7,1.872,0316097603
biomateri,5,2.159,0316097603
design,6,2.005,0316097603
preliminari,3,2.565,0316097603
studi,3,2.565,0316097603
intern,3,2.565,0316097603
devic,3,2.565,0316097603
acid,4,2.342,0316097603
model,3,2.565,0316097603
print,3,2.565,0316097603
evalu,3,2.565,0316097603
analysi,3,2.565,0316097603
data,4,2.734,0002056304
resourc,3,2.958,0002056304
potensi,3,2.958,0002056304
tahan,4,2.734,0002056304
pangan,4,2.734,0002056304
tani,3,2.958,0002056304
indonesia,5,2.552,0002056304
bijak,5,2.552,0002056304
program,3,2.958,0002056304
analisis,6,2.398,0002056304
kerja,6,2.398,0002056304
usaha,3,2.958,0002056304
ekonomi,3,2.958,0002056304
desa,3,2.958,0002056304
studi,15,1.571,0002056304
kasus,6,2.398,0002056304
kabupaten,8,2.147,0002056304
jawa,3,2.958,0002056304
giat,3,2.958,0002056304
tahun,3,2.958,0002056304
use,5,2.552,0002056304
model,8,2.147,0002056304
ajar,7,2.264,0002056304
tingkat,9,2.041,0002056304
terampil,5,2.552,0002056304
pikir,3,2.958,0002056304
siswa,3,2.958,0002056304
pengaruh,3,2.958,0002056304
merapi,3,2.958,0002056304
lingkung,5,2.552,0002056304
kait,4,2.734,0002056304
rawan,3,2.958,0002056304
bencana,4,2.734,0002056304
rapi,3,2.958,0002056304
jaring,6,2.398,0002056304
guna,4,2.734,0002056304
universitas,3,2.958,0002056304
metode,5,2.552,0002056304
sensor,5,2.552,0002056304
bas,8,2.147,0002056304
terap,4,2.734,0002056304
klasifikasi,3,2.958,0002056304
kembang,8,2.147,0002056304
learning,3,2.958,0002056304
serta,6,2.398,0002056304
didik,6,2.398,0002056304
malang,3,2.958,0002056304
lalu,4,2.734,0002056304
manajemen,3,2.958,0002056304
network,4,2.734,0002056304
sma,3,2.958,0002056304
bangun,3,2.958,0002056304
area,3,2.958,0002056304
kota,3,2.958,0002056304
lereng,5,2.552,0002056304
baratdaya,4,2.734,0002056304
gunungapi,4,2.734,0002056304
negeri,3,2.958,0002056304
camat,3,2.958,0002056304
kelas,3,2.958,0002056304
system,4,2.734,0002056304
mataair,3,2.958,0002056304
merbabu,3,2.958,0002056304
develop,4,1.281,0007108303
freez,4,1.281,0007108303
vacuum,4,1.281,0007108303
dri,4,1.281,0007108303
type,3,1.504,0007108303
fluida,3,1.504,0007108303
kerja,3,1.504,0007108303
kembang,3,1.504,0007108303
organic,3,1.504,0007108303
rankine,3,1.504,0007108303
cycle,3,1.504,0007108303
temperatur,3,1.504,0007108303
cpc,3,1.504,0007108303
budaya,4,2.104,0022107104
bentuk,4,2.104,0022107104
kaji,5,1.922,0022107104
ruang,4,2.104,0022107104
bangun,5,1.922,0022107104
arsitektur,3,2.327,0022107104
nelayan,5,1.922,0022107104
medan,3,2.327,0022107104
belawan,10,1.316,0022107104
unplan,4,2.104,0022107104
settlement,5,1.922,0022107104
villag,5,1.922,0022107104
indonesia,4,2.104,0022107104
koridor,3,2.327,0022107104
commun,4,2.104,0022107104
kampung,7,1.634,0022107104
jalan,3,2.327,0022107104
citi,4,2.104,0022107104
kawasan,11,1.229,0022107104
wisata,6,1.768,0022107104
jamin,3,2.327,0022107104
batu,3,2.327,0022107104
tata,5,1.922,0022107104
effect,3,2.327,0022107104
coastal,3,2.327,0022107104
level,3,2.327,0022107104
patient,4,2.104,0022107104
pantai,7,1.634,0022107104
cermin,7,1.634,0022107104
kabupaten,3,2.327,0022107104
serdang,3,2.327,0022107104
bedagai,3,2.327,0022107104
rencana,4,2.104,0022107104
effect,4,1.917,0019097206
synthesi,13,0.887,0019097206
insulin,3,2.14,0019097206
nanoparticl,4,1.917,0019097206
sodalit,3,2.14,0019097206
natur,5,1.735,0019097206
kaolin,5,1.735,0019097206
mesopor,6,1.58,0019097206
alumina,3,2.14,0019097206
red,3,2.14,0019097206
mud,3,2.14,0019097206
adsorpt,4,1.917,0019097206
use,7,1.447,0019097206
catalyst,4,1.917,0019097206
direct,4,1.917,0019097206
influenc,3,2.14,0019097206
extract,3,2.14,0019097206
oil,7,1.447,0019097206
process,3,2.14,0019097206
zeolit,3,2.14,0019097206
transesterif,5,1.735,0019097206
wast,6,1.58,0019097206
cook,3,2.14,0019097206
watersolubl,3,2.14,0019097206
chitosan,3,2.14,0019097206
effect,4,2.845,0005046405
photovolta,4,2.845,0005046405
gener,10,2.056,0005046405
power,22,1.319,0005046405
qualiti,5,2.663,0005046405
industri,3,3.068,0005046405
distribut,12,1.889,0005046405
network,19,1.459,0005046405
dynam,3,3.068,0005046405
optim,19,1.459,0005046405
flow,4,2.845,0005046405
plant,5,2.663,0005046405
energi,9,2.152,0005046405
analysi,9,2.152,0005046405
safeti,4,2.845,0005046405
integr,3,3.068,0005046405
level,4,2.845,0005046405
use,33,0.928,0005046405
base,18,1.51,0005046405
particl,7,2.375,0005046405
swarm,7,2.375,0005046405
wavelet,3,3.068,0005046405
transform,4,2.845,0005046405
cost,6,2.508,0005046405
placement,4,2.845,0005046405
wind,5,2.663,0005046405
turbin,3,3.068,0005046405
algorithm,7,2.375,0005046405
indonesia,4,2.845,0005046405
grid,3,3.068,0005046405
voltag,7,2.375,0005046405
control,9,2.152,0005046405
consid,4,2.845,0005046405
system,25,1.196,0005046405
quadrat,3,3.068,0005046405
program,4,2.845,0005046405
oper,4,2.845,0005046405
studi,3,3.068,0005046405
econom,6,2.508,0005046405
dispatch,7,2.375,0005046405
storag,5,2.663,0005046405
unit,3,3.068,0005046405
phase,3,3.068,0005046405
solar,3,3.068,0005046405
time,3,3.068,0005046405
stabil,5,2.663,0005046405
extrem,12,1.889,0005046405
learn,11,1.969,0005046405
machin,11,1.969,0005046405
method,12,1.889,0005046405
develop,4,2.845,0005046405
microgrid,5,2.663,0005046405
mobil,3,3.068,0005046405
robot,5,2.663,0005046405
point,3,3.068,0005046405
modifi,5,2.663,0005046405
paramet,3,3.068,0005046405
