word,df,idf,id_topic
dye,264,3.746,1
solar,373,3.401,1
cell,506,3.097,1
zno,305,3.602,1
fabric,255,3.78,1
thin,270,3.723,1
film,581,2.959,1
spray,120,4.529,1
properti,1044,2.374,1
pengaruh,121,4.521,1
character,855,2.573,1
method,998,2.419,1
enhanc,281,3.683,1
hydrogen,190,4.073,1
water,278,3.694,1
surfac,346,3.476,1
modif,187,4.089,1
tio2,301,3.615,1
prepar,810,2.627,1
modifi,274,3.709,1
layer,170,4.184,1
nanoparticl,745,2.711,1
investig,164,4.219,1
electr,176,4.149,1
structur,517,3.075,1
use,1879,1.786,1
reduct,153,4.288,1
irradi,133,4.427,1
stabil,131,4.442,1
variou,119,4.538,1
glycol,119,4.538,1
effect,1482,2.023,1
potenti,137,4.398,1
copper,111,4.607,1
deposit,194,4.052,1
materi,533,3.045,1
electrolyt,141,4.369,1
polym,364,3.425,1
blue,122,4.513,1
acid,799,2.641,1
synthesi,1569,1.966,1
composit,714,2.753,1
membran,587,2.949,1
dope,241,3.836,1
photocatalyt,165,4.213,1
activ,538,3.036,1
degrad,206,3.993,1
system,242,3.832,1
influenc,288,3.659,1
applic,574,2.971,1
reaction,192,4.063,1
synthes,269,3.727,1
oil,438,3.241,1
studi,1035,2.382,1
poli,162,4.232,1
chitosan,312,3.579,1
ion,448,3.218,1
wast,226,3.9,1
lithium,123,4.505,1
batteri,134,4.42,1
analysi,306,3.598,1
solid,157,4.263,1
extract,233,3.87,1
fuel,164,4.219,1
current,101,4.7,1
cellulos,235,3.861,1
produc,140,4.377,1
medium,109,4.625,1
oxid,609,2.912,1
addit,267,3.734,1
ionic,102,4.691,1
liquid,130,4.45,1
high,148,4.321,1
densiti,146,4.335,1
separ,143,4.355,1
mechan,281,3.683,1
conduct,172,4.172,1
improv,174,4.16,1
perform,365,3.423,1
palm,183,4.11,1
acet,124,4.497,1
direct,114,4.58,1
methanol,105,4.662,1
thermal,260,3.761,1
morpholog,205,3.997,1
via,181,4.121,1
green,115,4.572,1
base,573,2.973,1
methyl,108,4.634,1
sand,115,4.572,1
biodiesel,251,3.796,1
crosslink,106,4.652,1
rubber,119,4.538,1
seed,103,4.681,1
novel,104,4.671,1
product,399,3.334,1
process,354,3.453,1
time,158,4.256,1
calcium,129,4.458,1
differ,121,4.521,1
coat,308,3.592,1
absorpt,136,4.405,1
carbon,836,2.595,1
dioxid,129,4.458,1
adsorb,175,4.155,1
treatment,216,3.945,1
develop,164,4.219,1
determin,126,4.481,1
chemic,110,4.616,1
low,131,4.442,1
temperatur,431,3.257,1
format,205,3.997,1
ash,137,4.398,1
zeolit,306,3.598,1
remov,230,3.883,1
natur,405,3.319,1
physic,111,4.607,1
adsorpt,530,3.051,1
crystal,245,3.82,1
phase,157,4.263,1
hydrotherm,132,4.435,1
glass,124,4.497,1
co2,159,4.25,1
fiber,214,3.955,1
concentr,298,3.625,1
electrochem,165,4.213,1
particl,185,4.1,1
nickel,130,4.45,1
mesopor,158,4.256,1
combin,108,4.634,1
agent,165,4.213,1
kinet,260,3.761,1
catalyt,155,4.275,1
matrix,117,4.555,1
nanocomposit,225,3.905,1
aqueou,184,4.105,1
compound,120,4.529,1
solut,393,3.349,1
metal,332,3.517,1
imprint,121,4.521,1
function,264,3.746,1
optim,179,4.132,1
select,124,4.497,1
complex,181,4.121,1
sodium,183,4.11,1
catalyst,576,2.967,1
characterist,342,3.488,1
shell,150,4.308,1
surfact,116,4.563,1
substrat,104,4.671,1
gel,150,4.308,1
rice,146,4.335,1
organ,136,4.405,1
techniqu,144,4.349,1
evalu,165,4.213,1
zinc,142,4.362,1
deriv,173,4.166,1
control,101,4.7,1
releas,109,4.625,1
behavior,112,4.598,1
nanofib,134,4.42,1
alcohol,119,4.538,1
iii,121,4.521,1
gold,129,4.458,1
electrod,315,3.57,1
detect,135,4.413,1
reduc,155,4.275,1
graphen,254,3.784,1
silver,126,4.481,1
model,220,3.927,1
alloy,111,4.607,1
nanotub,161,4.238,1
bone,121,4.521,1
plasma,123,4.505,1
optic,250,3.8,1
sensor,228,3.892,1
molecular,110,4.616,1
powder,106,4.652,1
electron,155,4.275,1
iron,191,4.068,1
magnet,263,3.749,1
microwav,163,4.225,1
nano,123,4.505,1
silica,314,3.573,1
nanostructur,111,4.607,1
solvent,137,4.398,1
simul,122,4.513,1
hybrid,178,4.138,1
corros,106,4.652,1
solgel,150,4.308,1
calcul,110,4.616,1
laser,124,4.497,1
sensit,133,4.427,1
sistem,1044,2.049,2
informasi,708,2.437,2
daerah,312,3.255,2
analisis,1340,1.8,2
ancang,216,3.621,2
data,111,4.282,2
pegawai,197,3.713,2
bangun,355,3.126,2
