,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18
topic1,1.0,0.018,0.207,0.009,0.175,0.235,0.013,0.015,0.202,0.076,0.089,0.363,0.167,0.088,0.006,0.01,0.068,0.006
topic2,0.018,1.0,0.008,0.137,0.015,0.028,0.21,0.357,0.026,0.025,0.091,0.016,0.044,0.061,0.29,0.128,0.031,0.28
topic3,0.207,0.008,1.0,0.013,0.285,0.093,0.004,0.006,0.085,0.048,0.064,0.264,0.093,0.067,0.002,0.016,0.089,0.002
topic4,0.009,0.137,0.013,1.0,0.015,0.005,0.096,0.159,0.012,0.005,0.017,0.021,0.012,0.01,0.162,0.315,0.009,0.092
topic5,0.175,0.015,0.285,0.015,1.0,0.086,0.007,0.01,0.074,0.051,0.096,0.17,0.096,0.086,0.004,0.017,0.23,0.004
topic6,0.235,0.028,0.093,0.005,0.086,1.0,0.012,0.03,0.428,0.164,0.224,0.211,0.368,0.16,0.008,0.003,0.09,0.007
topic7,0.013,0.21,0.004,0.096,0.007,0.012,1.0,0.164,0.02,0.02,0.037,0.012,0.029,0.025,0.149,0.068,0.013,0.164
topic8,0.015,0.357,0.006,0.159,0.01,0.03,0.164,1.0,0.039,0.016,0.035,0.008,0.066,0.033,0.428,0.137,0.018,0.235
topic9,0.202,0.026,0.085,0.012,0.074,0.428,0.02,0.039,1.0,0.127,0.148,0.184,0.308,0.125,0.019,0.012,0.083,0.01
topic10,0.076,0.025,0.048,0.005,0.051,0.164,0.02,0.016,0.127,1.0,0.226,0.096,0.144,0.105,0.009,0.002,0.115,0.007
topic11,0.089,0.091,0.064,0.017,0.096,0.224,0.037,0.035,0.148,0.226,1.0,0.146,0.138,0.338,0.023,0.01,0.204,0.019
topic12,0.363,0.016,0.264,0.021,0.17,0.211,0.012,0.008,0.184,0.096,0.146,1.0,0.144,0.143,0.004,0.005,0.119,0.003
topic13,0.167,0.044,0.093,0.012,0.096,0.368,0.029,0.066,0.308,0.144,0.138,0.144,1.0,0.168,0.016,0.017,0.081,0.016
topic14,0.088,0.061,0.067,0.01,0.086,0.16,0.025,0.033,0.125,0.105,0.338,0.143,0.168,1.0,0.033,0.002,0.142,0.017
topic15,0.006,0.29,0.002,0.162,0.004,0.008,0.149,0.428,0.019,0.009,0.023,0.004,0.016,0.033,1.0,0.117,0.008,0.22
topic16,0.01,0.128,0.016,0.315,0.017,0.003,0.068,0.137,0.012,0.002,0.01,0.005,0.017,0.002,0.117,1.0,0.006,0.095
topic17,0.068,0.031,0.089,0.009,0.23,0.09,0.013,0.018,0.083,0.115,0.204,0.119,0.081,0.142,0.008,0.006,1.0,0.011
topic18,0.006,0.28,0.002,0.092,0.004,0.007,0.164,0.235,0.01,0.007,0.019,0.003,0.016,0.017,0.22,0.095,0.011,1.0
